"gear","source_authority","codetarget"
"Gill Net","CCSBT","07.9"
"Handline","CCSBT","09.1"
"Longline","CCSBT","09.39"
"Other","CCSBT","10.9"
"Pole and Line","CCSBT","09.1"
"Purse Seine","CCSBT","01.1"
"Trol","CCSBT","09.5"
"FPN","IATTC","08.1"
"GN","IATTC","07.9"
"HAR","IATTC","10.1"
"LL","IATTC","09.39"
"LP","IATTC","09.1"
"LTL","IATTC","09.5"
"LX","IATTC","09.9"
"MO","IATTC","10.9"
"NK","IATTC","99.9"
"OTR","IATTC","10.9"
"PS","IATTC","01.1"
"RG","IATTC","10.9"
"TX","IATTC","03.9"
"BB","ICCAT","09.2"
"BBALB","ICCAT","09.2"
"BBF","ICCAT","09.2"
"BBI","ICCAT","09.2"
"BLL","ICCAT","09.39"
"GILD","ICCAT","07.9"
"GILL","ICCAT","07.2"
"GILLALB","ICCAT","07.9"
"GILLM","ICCAT","07.2"
"GILLSWO","ICCAT","07.9"
"HAND","ICCAT","09.1"
"HARP","ICCAT","10.1"
"HARPE","ICCAT","10.1"
"HP-E","ICCAT","10.1"
"HS","ICCAT","02.1"
"LL","ICCAT","09.39"
"LL-B","ICCAT","09.39"
"LL-Shrk","ICCAT","09.39"
"LL-deri","ICCAT","09.32"
"LL-surf","ICCAT","09.39"
"LLALB","ICCAT","09.39"
"LLBFT","ICCAT","09.39"
"LLD","ICCAT","09.39"
"LLFB","ICCAT","09.39"
"LLHB","ICCAT","09.39"
"LLJAP","ICCAT","09.39"
"LLMB","ICCAT","09.39"
"LLPB","ICCAT","09.39"
"LLSWO","ICCAT","09.39"
"MWT","ICCAT","03.29"
"MWTD","ICCAT","03.22"
"OTH","ICCAT","10.9"
"PS","ICCAT","01.1"
"PSD","ICCAT","01.1"
"PSFB","ICCAT","01.1"
"PSFS","ICCAT","01.1"
"PSG","ICCAT","01.1"
"PSLB","ICCAT","01.1"
"PSM","ICCAT","01.1"
"PSS","ICCAT","01.1"
"RR","ICCAT","10.9"
"RRD","ICCAT","10.9"
"RRFB","ICCAT","10.9"
"RRFS","ICCAT","10.9"
"RRSD","ICCAT","10.9"
"SPHL","ICCAT","10.9"
"SPOR","ICCAT","10.9"
"SURF","ICCAT","10.9"
"TL","ICCAT","10.9"
"TLD","ICCAT","10.9"
"TN","ICCAT","07.5"
"TRAP","ICCAT","08.9"
"TRAP-S","ICCAT","08.6"
"TRAPM","ICCAT","08.6"
"TRAW","ICCAT","03.9"
"TRAWP","ICCAT","03.29"
"TRAWPP","ICCAT","03.22"
"TRBD","ICCAT","10.9"
"TROL","ICCAT","09.5"
"UNCD","ICCAT","10.9"
"UNCL","ICCAT","99.9"
"BB","IOTC","09.2"
"BBM","IOTC","09.2"
"BBN","IOTC","09.1"
"BBPS","IOTC","09.2"
"BS","IOTC","02.1"
"CN","IOTC","06.1"
"DDSEI","IOTC","02.2"
"DSEI","IOTC","02.2"
"ELL","IOTC","09.32"
"FLL","IOTC","09.32"
"FN","IOTC","06.9"
"G/L","IOTC","07.9"
"GIHA","IOTC","07.9"
"GIHT","IOTC","07.9"
"GILL","IOTC","07.9"
"GIOF","IOTC","07.2"
"GL","IOTC","07.9"
"HAND","IOTC","09.1"
"HATR","IOTC","09.1"
"HOOK","IOTC","09.9"
"LG","IOTC","07.9"
"LIFT","IOTC","05.9"
"LINE","IOTC","10.9"
"LL","IOTC","09.32"
"LLCO","IOTC","09.9"
"LLEX","IOTC","09.32"
"LLOB","IOTC","09.32"
"LLTR","IOTC","09.39"
"OTHER","IOTC","10.9"
"PS","IOTC","01.1"
"PSS","IOTC","01.1"
"RIN","IOTC","01.2"
"SLL","IOTC","09.32"
"SPOR","IOTC","10.9"
"TRAP","IOTC","08.9"
"TRAW","IOTC","03.9"
"TROL","IOTC","09.5"
"TROLM","IOTC","09.5"
"TROLN","IOTC","09.5"
"UNCL","IOTC","99.9"
"1","IRD","02.1"
"11","IRD","08.9"
"13","IRD","07.4"
"14","IRD","05"
"2","IRD","07.3"
"3","IRD","07.2"
"4","IRD","10.9"
"5","IRD","10.9"
"9","IRD","99.9"
"D","WCPFC","07.2"
"G","WCPFC","07.2"
"H","WCPFC","09.1"
"K","WCPFC","09.9"
"L","WCPFC","09.31"
"O","WCPFC","10.9"
"P","WCPFC","09.1"
"R","WCPFC","01.1"
"S","WCPFC","01.1"
"T","WCPFC","09.5"
